np;Z-ave;angle;note;intensity;date
0,25;104;90;wyatt;5338;11/04/2024
0,5;110;90;wyatt;11169;11/04/2024
1;146;90;wyatt;46359;11/04/2024
2;280;90;wyatt;198016;11/04/2024
4;190;90;wyatt;79974;11/04/2024
0,25;84,61;173;malvern;;11/04/2024
0,5;93,09;173;malvern;;11/04/2024
1;121,3333333;173;malvern;;11/04/2024
2;245,0666667;173;malvern;;11/04/2024
4;166,3333333;173;malvern;;11/04/2024
2;149;173;malvern;;15/04/2024
2,5;2597;173;malvern;;15/04/2024
3;1890;173;malvern;;15/04/2024
3,5;239;173;malvern;;15/04/2024
0,25;58,2;90;wyatt;1547;16/04/2024
0,5;69,2;90;wyatt;5077;16/04/2024
1;85,4;90;wyatt;17054;16/04/2024
1,5;112,8;90;wyatt;54624;16/04/2024
2;154,8;90;wyatt;135877;16/04/2024
2,5;2574,6;90;wyatt;119522;16/04/2024
3;2825,2;90;wyatt;125878;16/04/2024
3,5;197;90;wyatt;60315;16/04/2024
4;193,8;90;wyatt;52791;16/04/2024
