frame,MSD,time
0,0.0,0.0
1,0.210502,0.05
2,0.298961,0.1
3,0.383289,0.15
4,0.495793,0.2
5,0.593364,0.25
6,0.671206,0.3
7,0.86003,0.35
8,0.957901,0.4
9,1.047511,0.45
10,1.274356,0.5
11,1.481184,0.55
12,1.614561,0.6
13,1.672266,0.65
14,1.621667,0.7
15,1.71952,0.75
16,2.014752,0.8
17,1.825582,0.85
18,2.120411,0.9
19,2.066772,0.95
20,2.215717,1.0
21,2.282581,1.05
22,2.417979,1.1
23,2.653982,1.15
24,2.634837,1.2
25,2.735815,1.25
26,3.064892,1.3
27,3.290654,1.35
28,3.55754,1.4
29,3.433454,1.45
30,3.399299,1.5
31,3.438891,1.55
32,3.554663,1.6
33,3.782452,1.65
34,3.822696,1.7
35,4.012921,1.75
36,4.432399,1.8
37,4.31582,1.85
38,4.249799,1.9
39,4.430332,1.95
40,4.441068,2.0
41,4.891315,2.05
42,5.138019,2.1
43,5.376994,2.15
44,5.379721,2.2
45,5.500932,2.25
46,5.435575,2.3
47,5.364193,2.35
48,5.323147,2.4
49,5.583084,2.45
50,5.390907,2.5
51,5.4571,2.55
52,5.571852,2.6
53,5.864628,2.65
54,5.827408,2.7
55,5.791783,2.75
56,6.195493,2.8
57,6.606319,2.85
58,6.521147,2.9
59,6.555253,2.95
60,6.647764,3.0
61,6.505357,3.05
62,6.624797,3.1
63,6.960069,3.15
64,7.452745,3.2
65,7.994435,3.25
66,7.419472,3.3
67,7.905476,3.35
68,8.095171,3.4
69,8.855948,3.45
70,8.83583,3.5
71,9.061302,3.55
72,9.265832,3.6
73,9.421781,3.65
74,10.09472,3.7
75,9.597895,3.75
76,10.366035,3.8
77,10.762742,3.85
78,10.622265,3.9
79,10.75015,3.95
80,10.774859,4.0
81,10.857727,4.05
82,12.690087,4.1
83,13.343752,4.15
84,12.780263,4.2
85,13.086065,4.25
86,12.696642,4.3
87,13.043993,4.35
88,13.091797,4.4
89,13.249486,4.45
90,12.849981,4.5
91,12.310919,4.55
92,6.29794,4.6
93,7.596689,4.65
94,7.508893,4.7
95,7.965418,4.75
96,6.058249,4.8
97,6.93442,4.85
98,6.972706,4.9
99,7.164491,4.95
100,7.408757,5.0
101,8.166264,5.05
102,8.497252,5.1
103,8.38031,5.15
104,9.416206,5.2
105,8.846824,5.25
106,9.134515,5.3
107,9.298389,5.35
108,9.787423,5.4
109,9.87454,5.45
110,10.027271,5.5
111,10.236075,5.55
112,10.021593,5.6
113,9.958567,5.65
114,10.22463,5.7
115,9.981156,5.75
116,10.083357,5.8
117,10.194707,5.85
118,10.700364,5.9
119,9.952909,5.95
120,11.87311,6.0
121,12.239061,6.05
122,11.881116,6.1
123,12.106457,6.15
124,10.344909,6.2
125,10.358451,6.25
126,11.153962,6.3
127,10.996659,6.35
128,12.119905,6.4
129,12.133235,6.45
130,13.830048,6.5
131,15.197378,6.55
132,13.228492,6.6
133,11.823396,6.65
134,13.391914,6.7
135,14.791316,6.75
136,19.356679,6.8
137,15.977133,6.85
138,13.261808,6.9
139,10.445194,6.95
140,13.647209,7.0
141,15.225712,7.05
142,15.544036,7.1
143,15.133809,7.15
144,14.363245,7.2
145,13.540566,7.25
146,13.662174,7.3
147,13.863935,7.35
148,12.958072,7.4
149,12.083314,7.45
150,13.107471,7.5
151,13.524984,7.55
152,13.114093,7.6
153,12.985773,7.65
154,11.704618,7.7
155,11.24076,7.75
156,10.351053,7.8
157,10.422791,7.85
158,9.684023,7.9
159,8.822629,7.95
160,8.899923,8.0
161,8.60349,8.05
162,7.359788,8.1
163,11.174428,8.15
164,8.535853,8.2
165,11.936586,8.25
166,11.567195,8.3
167,12.401402,8.35
168,13.365811,8.4
169,13.887035,8.45
170,15.033883,8.5
171,14.246999,8.55
172,15.588282,8.6
173,17.006244,8.65
174,17.371555,8.7
175,10.651305,8.75
176,11.302243,8.8
177,11.711306,8.85
178,11.372403,8.9
179,9.330775,8.95
180,9.317935,9.0
181,9.009027,9.05
182,8.231793,9.1
183,9.357818,9.15
184,8.354745,9.2
185,9.15691,9.25
186,10.884321,9.3
187,9.316002,9.35
188,11.572663,9.4
189,12.976566,9.45
190,12.129337,9.5
191,12.708756,9.55
192,14.500289,9.6
193,15.622808,9.65
194,16.32736,9.7
195,16.560112,9.75
196,15.332236,9.8
197,16.513014,9.85
198,16.160388,9.9
199,15.049072,9.95
200,15.646379,10.0
201,19.883416,10.05
202,20.211639,10.1
203,20.371647,10.15
204,20.779472,10.2
205,21.865445,10.25
206,21.3246,10.3
207,22.790453,10.35
208,23.864725,10.4
209,23.339331,10.45
210,20.284566,10.5
211,19.731275,10.55
212,19.008139,10.6
213,18.822956,10.65
214,18.578641,10.7
215,19.836803,10.75
216,17.755444,10.8
217,17.46866,10.85
218,17.735924,10.9
219,19.274442,10.95
220,18.749095,11.0
221,20.048045,11.05
222,18.563161,11.1
223,18.308259,11.15
224,18.403856,11.2
225,15.818799,11.25
226,15.369862,11.3
227,16.328781,11.35
228,16.197051,11.4
229,16.010184,11.45
230,14.753191,11.5
231,15.174104,11.55
232,14.316332,11.6
233,17.462488,11.65
234,17.927174,11.7
235,18.51127,11.75
236,18.535338,11.8
237,19.310891,11.85
238,18.583631,11.9
239,22.242892,11.95
240,21.148902,12.0
241,21.985319,12.05
242,0.0,12.1
243,0.0,12.15
244,0.0,12.2
245,0.0,12.25
246,0.0,12.3
247,0.0,12.35
248,0.0,12.4
249,0.0,12.45
250,0.0,12.5
251,0.0,12.55
252,0.0,12.6
253,0.0,12.65
254,0.0,12.7
255,0.0,12.75
256,0.0,12.8
257,0.0,12.85
258,0.0,12.9
259,0.0,12.95
260,0.0,13.0
261,0.0,13.05
262,0.0,13.1
263,0.0,13.15
264,0.0,13.2
265,0.0,13.25
266,0.0,13.3
267,0.0,13.35
268,0.0,13.4
269,0.0,13.45
270,0.0,13.5
271,0.0,13.55
272,0.0,13.6
273,0.0,13.65
274,0.0,13.7
275,0.0,13.75
276,0.0,13.8
277,0.0,13.85
278,0.0,13.9
279,0.0,13.95
280,0.0,14.0
281,0.0,14.05
282,0.0,14.1
283,0.0,14.15
284,0.0,14.2
285,0.0,14.25
286,0.0,14.3
287,0.0,14.35
288,0.0,14.4
289,0.0,14.45
290,0.0,14.5
291,0.0,14.55
292,0.0,14.6
293,0.0,14.65
294,0.0,14.7
295,0.0,14.75
296,0.0,14.8
297,0.0,14.85
298,0.0,14.9
299,0.0,14.95
